"filename", "language", "Todo", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\main_window.dart", "Dart", 0, 237, 7, 19, 263
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\data\shared_preferences_prefs_repo.dart", "Dart", 0, 39, 0, 6, 45
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\domain\models\prefs.dart", "Dart", 0, 43, 0, 4, 47
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\domain\prefs_repo.dart", "Dart", 0, 6, 0, 3, 9
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\cubits\prefs\prefs_cubit.dart", "Dart", 0, 58, 2, 11, 71
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\cubits\prefs\prefs_states.dart", "Dart", 0, 12, 0, 8, 20
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\blur_row.dart", "Dart", 0, 58, 0, 4, 62
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\dialogs\prefs_save_dialog.dart", "Dart", 0, 39, 0, 3, 42
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\opacity_row.dart", "Dart", 0, 46, 0, 4, 50
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\padding_row.dart", "Dart", 0, 46, 0, 5, 51
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\resize_row.dart", "Dart", 0, 84, 1, 4, 89
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\components\theme_row.dart", "Dart", 0, 89, 0, 4, 93
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\presentation\pages\settings_window.dart", "Dart", 0, 172, 8, 24, 204
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\main.dart", "Dart", 0, 38, 2, 11, 51
"Total", "-", 42, 3041, 97, 418, 3598
