"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\adapters\side_folder_adapter.dart", "Dart", 26, 0, 0, 5, 31
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\adapters\side_url_adapter.dart", "Dart", 29, 0, 0, 5, 34
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_file.dart", "Dart", 46, 0, 0, 7, 53
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_folder.dart", "Dart", 39, 0, 2, 7, 48
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_item.dart", "Dart", 73, 0, 3, 14, 90
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\models\side_url.dart", "Dart", 78, 0, 3, 9, 90
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\domain\side_items_repo.dart", "Dart", 9, 0, 0, 7, 16
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\cubits\side_items_cubit.dart", "Dart", 163, 0, 15, 25, 203
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\cubits\side_items_states.dart", "Dart", 12, 0, 0, 8, 20
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\dialogs\change_item_name_dialog.dart", "Dart", 86, 0, 0, 4, 90
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\dialogs\change_item_open_command_dialog.dart", "Dart", 99, 0, 1, 4, 104
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\dialogs\item_info_dialog.dart", "Dart", 94, 0, 0, 4, 98
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\dialogs\pick_url_dialog.dart", "Dart", 76, 0, 0, 4, 80
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\footer_row.dart", "Dart", 115, 0, 0, 4, 119
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\header_row.dart", "Dart", 127, 0, 2, 4, 133
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\info_dialog_row.dart", "Dart", 60, 0, 0, 4, 64
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\no_items_row.dart", "Dart", 32, 0, 0, 4, 36
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\side_button.dart", "Dart", 179, 0, 0, 16, 195
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\side_divider.dart", "Dart", 37, 0, 2, 4, 43
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\side_item_card.dart", "Dart", 246, 0, 2, 15, 263
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\components\side_small_button.dart", "Dart", 83, 0, 0, 8, 91
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\main_sidebar\presentation\pages\main_window.dart", "Dart", 276, 0, 8, 20, 304
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\data\hive_prefs_repo.dart", "Dart", 28, 0, 0, 5, 33
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\domain\models\adapters\prefs_adapter.dart", "Dart", 29, 0, 0, 5, 34
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\domain\models\prefs.dart", "Dart", 38, 0, 0, 4, 42
"d:\Flutterrrr\FlutterProjects\windows_widgets\lib\features\settings_sidebar\domain\prefs_repo.dart", "Dart", 5, 0, 0, 2, 7
